text,href,id
a lil worksheet.pdf,/archive/serena-chen/like comment and subscribe - a lil worksheet.pdf,serena-chen
links and resources.md,/archive/serena-chen/like comment and subscribe links and resources.md,serena-chen
youtube video,https://www.youtube.com/watch?v=zi-fQWjDqu4&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=3&t=0s,serena-chen
agloe_what_the map_makers_of the_1930s_can teach_us_about protecting_data_in_2018.pdf,/archive/errbufferoverfl/agloe_what_the map_makers_of the_1930s_can teach_us_about protecting_data_in_2018.pdf,errbufferoverfl
youtube video,https://www.youtube.com/watch?v=ya0zhdeqp-Y&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=4&t=0s,errbufferoverfl
https://github.com/mossnz/purplecon-docker,https://github.com/mossnz/purplecon-docker,moss
youtube video,https://www.youtube.com/watch?v=rzYibOaVbeA&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=5&t=0s,moss
youtube video,https://www.youtube.com/watch?v=2AtyxWBKtw4&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=6&t=0s,sparkleops
MakeMikeSad.pdf,/archive/mike-loss/MakeMikeSad.pdf,mike-loss
youtube video,https://www.youtube.com/watch?v=WdQ3cNs9GRw&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=7&t=0s,mike-loss
slides.pptx,/archive/sophie-richardson/slides.pptx,sophie-richardson
youtube video,https://www.youtube.com/watch?v=08V8fmciask&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=8&t=0s,sophie-richardson
AdvancedEndpointProtection.pdf,/archive/petra-smith/AdvancedEndpointProtection.pdf,petra-smith
youtube video,https://www.youtube.com/watch?v=4lsVAbGfQ3s&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=9&t=0s,petra-smith
purplecon.pdf,/archive/liamosaur/purplecon.pdf,liamosaur
youtube video,https://www.youtube.com/watch?v=JI53rORMTNw&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=10&t=0s,liamosaur
How .tf to do Infrastructure as Code.pdf,/archive/duck-lawn-alix-klingenberg/How .tf to do Infrastructure as Code.pdf,duck-lawn-alix-klingenberg
my_first_terraform-master.zip,/archive/duck-lawn-alix-klingenberg/my_first_terraform-master.zip,duck-lawn-alix-klingenberg
https://github.com/duckalini/my_first_terraform,https://github.com/duckalini/my_first_terraform,duck-lawn-alix-klingenberg
user-login.gif,/archive/duck-lawn-alix-klingenberg/user-login.gif,duck-lawn-alix-klingenberg
youtube video,https://www.youtube.com/watch?v=syK_Y9gQQu4&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=11&t=0s,duck-lawn-alix-klingenberg
Linux.Compromise.Detection.Command.Cheatsheet.pdf,/archive/craig-h-rowland/Linux.Compromise.Detection.Command.Cheatsheet.pdf,craig-h-rowland
Linux.Compromise.Detection.Presentation.pdf,/archive/craig-h-rowland/Linux.Compromise.Detection.Presentation.pdf,craig-h-rowland
youtube video,https://www.youtube.com/watch?v=yWMBrY3dqfc&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=12&t=3s,craig-h-rowland
"Bug Bounty Introduction, Common Problems and Practical Solutions - article.pdf","/archive/anton-black/Bug Bounty Introduction, Common Problems and Practical Solutions - article.pdf",anton-black
"Bug Bounty Introduction, Common Problems and Practical Solutions - slides.pdf","/archive/anton-black/Bug Bounty Introduction, Common Problems and Practical Solutions - slides.pdf",anton-black
youtube video,https://www.youtube.com/watch?v=1R1afZOIonA&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=13&t=0s,anton-black
Bryan Nolen - Surviving Your First Incident (Purplecon 2018).pdf,/archive/bryan-nolen/Bryan Nolen - Surviving Your First Incident (Purplecon 2018).pdf,bryan-nolen
youtube video,https://www.youtube.com/watch?v=d_igKKwpyJM&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=14&t=0s,bryan-nolen
benno-rice
youtube video,https://www.youtube.com/watch?v=PVAcLt2_5pc&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=15&t=0s,chris
Cyber Ethics_ 10 Cmdlets to Creating Trust in Cyberspace.pdf,/archive/judy-tingedwards/Cyber Ethics_ 10 Cmdlets to Creating Trust in Cyberspace.pdf,judy-tingedwards
youtube video,https://www.youtube.com/watch?v=6uUfSor_spQ&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=16&t=2s,judy-tingedwards
Devs Against the Dark Arts.pdf,/archive/attacus/Devs Against the Dark Arts.pdf,attacus
youtube video,https://www.youtube.com/watch?v=jdqRMqH8bE4&list=PLS45xFo74VF4EYipkr4ZgsNIrgbdyo2Ai&index=17&t=0s,attacus